the_geom,name,description,No.,CODIGO,LATITUD,LONGITUD,ICONO
POINT (-74.8346608 11.0175066),CALLE 106 CON CARRERA 53 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 5<br>
<b>CODIGO:</b> 10653<br>
<b>LOCALIZACION:</b> CALLE 106 CON CARRERA 53 BARRANQUILLA<br>
<b>LATITUD:</b> 11.0175066<br>
<b>LONGITUD:</b> -74.8346608<br>
<b>ICONO:</b> small_green
</div>",5,10653,11.0175066,-74.8346608,small_green
POINT (-74.7739496 10.9539613),CALLE 17 CON CARRERA 15 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 7<br>
<b>CODIGO:</b> 508<br>
<b>LOCALIZACION:</b> CALLE 17 CON CARRERA 15 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9539613<br>
<b>LONGITUD:</b> -74.7739496<br>
<b>ICONO:</b> small_green
</div>",7,508,10.9539613,-74.7739496,small_green
POINT (-74.7748803 10.9674284),CALLE 17 CON CARRERA 30 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 8<br>
<b>CODIGO:</b> 500<br>
<b>LOCALIZACION:</b> CALLE 17 CON CARRERA 30 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9674284<br>
<b>LONGITUD:</b> -74.7748803<br>
<b>ICONO:</b> small_green
</div>",8,500,10.9674284,-74.7748803,small_green
POINT (-74.7753842 10.9754118),CALLE 17 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 9<br>
<b>CODIGO:</b> 1124<br>
<b>LOCALIZACION:</b> CALLE 17 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9754118<br>
<b>LONGITUD:</b> -74.7753842<br>
<b>ICONO:</b> small_green
</div>",9,1124,10.9754118,-74.7753842,small_green
POINT (-74.780262 10.936612),CALLE 19 CON CARRERA 1E BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 10<br>
<b>CODIGO:</b> 1901<br>
<b>LOCALIZACION:</b> CALLE 19 CON CARRERA 1E BARRANQUILLA<br>
<b>LATITUD:</b> 10.936612<br>
<b>LONGITUD:</b> -74.780262<br>
<b>ICONO:</b> small_green
</div>",10,1901,10.936612,-74.780262,small_green
POINT (-74.7768943 10.9437723),CALLE 19 CON CARRERA 5B BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 11<br>
<b>CODIGO:</b> 1905<br>
<b>LOCALIZACION:</b> CALLE 19 CON CARRERA 5B BARRANQUILLA<br>
<b>LATITUD:</b> 10.9437723<br>
<b>LONGITUD:</b> -74.7768943<br>
<b>ICONO:</b> small_green
</div>",11,1905,10.9437723,-74.7768943,small_green
POINT (-74.7759048 10.94681),CALLE 19 CON CARRERA 7 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 12<br>
<b>CODIGO:</b> 1907<br>
<b>LOCALIZACION:</b> CALLE 19 CON CARRERA 7 BARRANQUILLA<br>
<b>LATITUD:</b> 10.94681<br>
<b>LONGITUD:</b> -74.7759048<br>
<b>ICONO:</b> small_green
</div>",12,1907,10.94681,-74.7759048,small_green
POINT (-74.7802189 10.9526771),CALLE 26 CON CARRERA 15 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 13<br>
<b>CODIGO:</b> 2515<br>
<b>LOCALIZACION:</b> CALLE 26 CON CARRERA 15 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9526771<br>
<b>LONGITUD:</b> -74.7802189<br>
<b>ICONO:</b> small_green
</div>",13,2515,10.9526771,-74.7802189,small_green
POINT (-74.7863451 10.9524282),CALLE 30 CON CARRERA 14 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 14<br>
<b>CODIGO:</b> 2506<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 14 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9524282<br>
<b>LONGITUD:</b> -74.7863451<br>
<b>ICONO:</b> small_green
</div>",14,2506,10.9524282,-74.7863451,small_green
POINT (-74.7860889 10.9515936),CALLE 30 CON CARRERA 15 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 15<br>
<b>CODIGO:</b> 2506<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 15 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9515936<br>
<b>LONGITUD:</b> -74.7860889<br>
<b>ICONO:</b> small_green
</div>",15,2506,10.9515936,-74.7860889,small_green
POINT (-74.786032 10.9567872),CALLE 30 CON CARRERA 20 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 16<br>
<b>CODIGO:</b> 2508<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 20 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9567872<br>
<b>LONGITUD:</b> -74.786032<br>
<b>ICONO:</b> small_green
</div>",16,2508,10.9567872,-74.786032,small_green
POINT (-74.7851271 10.9592699),CALLE 30 CON CARRERA 21 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 17<br>
<b>CODIGO:</b> 1509<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 21 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9592699<br>
<b>LONGITUD:</b> -74.7851271<br>
<b>ICONO:</b> small_green
</div>",17,1509,10.9592699,-74.7851271,small_green
